"ticker","date","open","high","low","close","volume"
"TSLA",2020-05-01 18:07:00,709.46,709.46,709.46,709.46,500
"TSLA",2020-05-01 18:08:00,709.745,710.93,709.43,710.72,1847
"TSLA",2020-05-01 18:09:00,710.08,710.12,709.57,709.58,1177
"TSLA",2020-05-01 18:10:00,709.58,709.58,709.49,709.49,500
"TSLA",2020-05-01 18:11:00,706.805,706.815,706.64,706.64,413
"TSLA",2020-05-01 18:12:00,706.37,706.97,706.37,706.685,407
"TSLA",2020-05-01 18:13:00,706.94,708.5,706.94,708.46,435
"TSLA",2020-05-01 18:14:00,707.2,707.2,707.2,707.2,20
"TSLA",2020-05-01 18:15:00,708.43,708.94,708.43,708.94,400
"TSLA",2020-05-01 18:16:00,709.55,710.11,708.695,709.16,911
"TSLA",2020-05-01 18:17:00,709.145,709.145,708.18,708.18,4
"TSLA",2020-05-01 18:18:00,709.14,709.26,709.14,709.26,3
"TSLA",2020-05-01 18:19:00,709.02,710.225,707.25,707.25,521
"TSLA",2020-05-01 18:20:00,708.66,708.66,708.66,708.66,5
"TSLA",2020-05-01 18:21:00,709.55,710.155,709.55,710.155,68
"TSLA",2020-05-01 18:22:00,711.3,711.3,710.71,710.71,57
"TSLA",2020-05-01 18:23:00,711.255,713.42,711.255,712.56,583
"TSLA",2020-05-01 18:24:00,713.025,713.795,712.14,712.14,505
"TSLA",2020-05-01 18:25:00,714.21,714.525,713.51,713.51,296
"TSLA",2020-05-01 18:26:00,713.03,713.03,713.03,713.03,100
"TSLA",2020-05-01 18:27:00,712.11,712.11,712.11,712.11,100
"TSLA",2020-05-01 18:28:00,710.68,711.46,710.68,711.46,676
"TSLA",2020-05-01 18:29:00,711.72,712.99,711.72,712.99,107
"TSLA",2020-05-01 18:30:00,709.27,709.405,709.27,709.405,201
"TSLA",2020-05-01 18:31:00,708.405,708.83,708.405,708.8,400
"TSLA",2020-05-01 18:32:00,709.83,709.83,708.36,708.36,560
"TSLA",2020-05-01 18:33:00,708.16,708.16,704.78,704.78,401
"TSLA",2020-05-01 18:34:00,705.99,706.53,704.625,706.51,226
"TSLA",2020-05-01 18:35:00,705.93,705.93,704.86,704.86,31
"TSLA",2020-05-01 18:36:00,706.76,706.76,706.17,706.17,235
"TSLA",2020-05-01 18:37:00,706.36,706.53,706.36,706.53,33
"TSLA",2020-05-01 18:38:00,707.79,707.79,707.79,707.79,100
"TSLA",2020-05-01 18:39:00,708.21,708.21,708.21,708.21,102
"TSLA",2020-05-01 18:40:00,709.535,710.585,709.535,710.26,115
"TSLA",2020-05-01 18:41:00,710.28,710.28,709.34,709.34,35
"TSLA",2020-05-01 18:42:00,707.19,707.19,707.19,707.19,100
"TSLA",2020-05-01 18:43:00,708.39,708.39,708.3,708.3,8
"TSLA",2020-05-01 18:44:00,708.61,710,708.61,710,458
"TSLA",2020-05-01 18:45:00,707.53,707.55,706.67,706.67,365
"TSLA",2020-05-01 18:46:00,707.85,707.85,707.14,707.37,350
"TSLA",2020-05-01 18:47:00,707.14,708.79,707.14,708.79,725
"TSLA",2020-05-01 18:48:00,707.14,707.14,707.14,707.14,130
"TSLA",2020-05-01 18:49:00,706.74,706.74,706.405,706.405,606
"TSLA",2020-05-01 18:50:00,704.97,704.97,704.38,704.745,300
"TSLA",2020-05-01 18:51:00,704.26,704.33,703.755,703.755,601
"TSLA",2020-05-01 18:52:00,702.77,702.77,702.77,702.77,5
"TSLA",2020-05-01 18:53:00,704.14,704.2,704.14,704.2,104
"TSLA",2020-05-01 18:54:00,704.2,704.2,704.2,704.2,0
"TSLA",2020-05-01 18:55:00,705.77,705.77,705.77,705.77,30
"TSLA",2020-05-01 18:56:00,706.845,706.845,706.845,706.845,28
"TSLA",2020-05-01 18:57:00,706.56,707.08,705.33,705.33,400
"TSLA",2020-05-01 18:58:00,705.33,705.33,705.33,705.33,0
"TSLA",2020-05-01 18:59:00,704.35,705.05,704.35,705.05,111
"TSLA",2020-05-01 19:00:00,705.41,705.6,705.41,705.505,11
"SPY",2020-05-01 13:30:00,285.26,285.405,284.96,285.4,10664
"SPY",2020-05-01 13:31:00,285.415,285.585,285.25,285.56,6027
"SPY",2020-05-01 13:32:00,285.55,285.93,285.48,285.85,1720
"SPY",2020-05-01 13:33:00,285.825,285.91,285.71,285.78,9102
"SPY",2020-05-01 13:34:00,285.76,286.03,285.67,285.95,5239
"SPY",2020-05-01 13:35:00,285.94,285.99,285.225,285.405,3046
"SPY",2020-05-01 13:36:00,285.41,285.55,285.3,285.48,920
"SPY",2020-05-01 13:37:00,285.5,285.5,285.045,285.095,1345
"SPY",2020-05-01 13:38:00,285.08,285.145,284.85,284.905,2752
"SPY",2020-05-01 13:39:00,284.895,284.97,284.7,284.75,5170
"SPY",2020-05-01 13:40:00,284.735,284.82,284.57,284.585,4873
"SPY",2020-05-01 13:41:00,284.61,284.945,284.535,284.855,3123
"SPY",2020-05-01 13:42:00,284.875,285.015,284.85,284.915,1859
"SPY",2020-05-01 13:43:00,284.925,285,284.59,284.645,3720
"SPY",2020-05-01 13:44:00,284.655,284.895,284.625,284.88,6020
"SPY",2020-05-01 13:45:00,284.88,285.06,284.76,284.94,1283
"SPY",2020-05-01 13:46:00,284.94,285.05,284.68,284.805,8470
"SPY",2020-05-01 13:47:00,284.855,285.115,284.805,285.075,973
"SPY",2020-05-01 13:48:00,285.09,285.115,284.935,285.1,1010
"SPY",2020-05-01 13:49:00,285.085,285.095,284.855,285.095,300
"SPY",2020-05-01 13:50:00,285.06,285.21,284.99,285.03,1239
"SPY",2020-05-01 13:51:00,285.13,285.13,284.885,284.92,7647
"SPY",2020-05-01 13:52:00,284.92,285.11,284.915,284.935,3988
"SPY",2020-05-01 13:53:00,284.93,284.93,284.57,284.63,14408
"SPY",2020-05-01 13:54:00,284.6,284.685,284.425,284.525,26898
"SPY",2020-05-01 13:55:00,284.61,285.02,284.61,284.865,27787
"SPY",2020-05-01 13:56:00,284.88,285.02,284.74,284.85,6556
"SPY",2020-05-01 13:57:00,284.78,285.04,284.77,285.04,3079
"SPY",2020-05-01 13:58:00,284.955,285.05,284.72,284.91,6719
"SPY",2020-05-01 13:59:00,284.94,285.21,284.815,285.11,6214
"SPY",2020-05-01 14:00:00,285.19,285.46,284.775,285.255,15371
"SPY",2020-05-01 14:01:00,285.295,285.82,285.055,285.725,5646
"SPY",2020-05-01 14:02:00,285.675,285.98,285.61,285.645,2240
"SPY",2020-05-01 14:03:00,285.62,285.7,285.315,285.355,713
"SPY",2020-05-01 14:04:00,285.32,285.49,285.26,285.48,1858
"SPY",2020-05-01 14:05:00,285.46,285.695,285.245,285.655,4796
"SPY",2020-05-01 14:06:00,285.57,285.89,285.455,285.83,1074
"SPY",2020-05-01 14:07:00,285.81,285.875,285.67,285.72,1091
"SPY",2020-05-01 14:08:00,285.74,285.82,285.67,285.78,3328
"SPY",2020-05-01 14:09:00,285.815,285.86,285.385,285.4,2906
"SPY",2020-05-01 14:10:00,285.31,285.31,284.87,284.98,12556
